Genre; Année; Titre; Distributeur
Adventure;2006;Doogal;Weinstein Co.
Adventure;2006;The Polar Express;Warner Bros.
Adventure;2006;Chicken Little;Walt Disney
Adventure;2006;Santa vs. The Snowman;IMAX Films
Adventure;2006;The Celestine Prophecy;Ram Entertainment
Adventure;2006;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2006;Lassie;IDP/Goldwyn/Roadside
Adventure;2006;Romeo & Juliet: Sealed with a Kiss;Indican Pictures
Adventure;2006;Kaptein Sabeltann;Indican Pictures
Adventure;2006;Wallace & Gromit: The Curse of the Were-Rabbit;Dreamworks SKG
Adventure;2007;Spider-Man 3;Sony Pictures
Adventure;2007;Shrek the Third;Paramount Pictures
Adventure;2007;Pirates of the Caribbean: At World’s End;Walt Disney
Adventure;2007;Harry Potter and the Order of the Phoenix;Warner Bros.
Adventure;2007;Ratatouille;Walt Disney
Adventure;2007;The Simpsons Movie;20th Century Fox
Adventure;2007;National Treasure: Book of Secrets;Walt Disney
Adventure;2007;Alvin and the Chipmunks;20th Century Fox
Adventure;2007;Night at the Museum;20th Century Fox
Adventure;2007;Bee Movie;Paramount Pictures
Adventure;2007;Enchanted;Walt Disney
Adventure;2007;Ocean's Thirteen;Warner Bros.
Adventure;2007;Meet the Robinsons;Walt Disney
Adventure;2007;Beowulf;Paramount Pictures
Adventure;2007;The Golden Compass;New Line
Adventure;2007;Surf’s Up;Sony Pictures
Adventure;2007;Underdog;Walt Disney
Adventure;2007;Stardust;Paramount Pictures
Adventure;2007;Mr. Bean’s Holiday;Universal
Adventure;2007;The Water Horse: Legend of the Deep;Sony Pictures
Adventure;2007;Nancy Drew;Warner Bros.
Adventure;2007;The Last Mimzy;New Line
Adventure;2007;Eragon;20th Century Fox
Adventure;2007;Happily N'Ever After;Lionsgate
Adventure;2007;Arthur et les Minimoys;Weinstein Co.
Adventure;2007;The Seeker: The Dark is Rising;20th Century Fox
Adventure;2007;Flushed Away;Paramount Pictures
Adventure;2007;The Polar Express;Warner Bros.
Adventure;2007;Santa vs. The Snowman;IMAX Films
Adventure;2007;The Ten Commandments;Box Office History for Rocky Mountain Pictures
Adventure;2007;The Santa Clause 3: The Escape Clause;Walt Disney
Adventure;2007;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2007;Romeo & Juliet: Sealed with a Kiss;Indican Pictures
Adventure;2007;Passage to Zarahemla;Somerset Films
Adventure;2007;Dus Kahaniyaan;Eros Entertainment
Adventure;2007;The Holy Mountain;Abkco Films
Adventure;2008;Iron Man;Paramount Pictures
Adventure;2008;Indiana Jones and the Kingdom of the Crystal Skull;Paramount Pictures
Adventure;2008;WALL-E;Walt Disney
Adventure;2008;Kung Fu Panda;Paramount Pictures
Adventure;2008;Madagascar: Escape 2 Africa;Paramount Pictures
Adventure;2008;Horton Hears a Who;20th Century Fox
Adventure;2008;The Chronicles of Narnia: Prince Caspian;Walt Disney
Adventure;2008;The Incredible Hulk;Universal
Adventure;2008;Bolt;Walt Disney
Adventure;2008;The Mummy: Tomb of the Dragon Emperor;Universal
Adventure;2008;Journey to the Center of the Earth;Warner Bros.
Adventure;2008;10,000 B.C.;Warner Bros.
Adventure;2008;Beverly Hills Chihuahua;Walt Disney
Adventure;2008;Bedtime Stories;Walt Disney
Adventure;2008;Jumper;20th Century Fox
Adventure;2008;The Day the Earth Stood Still;20th Century Fox
Adventure;2008;The Spiderwick Chronicles;Paramount Pictures
Adventure;2008;Fool’s Gold;Warner Bros.
Adventure;2008;Alvin and the Chipmunks;20th Century Fox
Adventure;2008;National Treasure: Book of Secrets;Walt Disney
Adventure;2008;Nim's Island;20th Century Fox
Adventure;2008;College Road Trip;Walt Disney
Adventure;2008;The Tale of Despereaux;Universal
Adventure;2008;Star Wars: The Clone Wars;Warner Bros.
Adventure;2008;Space Chimps;20th Century Fox
Adventure;2008;Igor;MGM
Adventure;2008;The Pirates Who Don't Do Anything: A VeggieTales Movie;Universal
Adventure;2008;Fly Me To the Moon;Summit Entertainment
Adventure;2008;The Water Horse: Legend of the Deep;Sony Pictures
Adventure;2008;Enchanted;Walt Disney
Adventure;2008;City of Ember;20th Century Fox
Adventure;2008;The Golden Compass;New Line
Adventure;2008;Bee Movie;Paramount Pictures
Adventure;2008;The Polar Express;Warner Bros.
Adventure;2008;Beowulf;Paramount Pictures
Adventure;2008;Babine;
Adventure;2008;Astérix aux Jeux Olympiques;
Adventure;2008;Delgo;Freestyle Releasing
Adventure;2008;Heroes;Eros Entertainment
Adventure;2008;Santa vs. The Snowman;IMAX Films
Adventure;2008;Drona;Eros Entertainment
Adventure;2008;C'est pas moi, je le jure!;
Adventure;2008;長江七號 (CJ7);Box Office History for Sony Pictures Classics
Adventure;2008;The Flyboys;Self Distributed
Adventure;2008;Christmas in Wonderland;Box Office History for Yari Film Group Releasing
Adventure;2008;A Plumm Summer;Freestyle Releasing
Adventure;2008;Roadside Romeo;Yash Raj Films
Adventure;2008;Passage to Zarahemla;Somerset Films
Adventure;2008;Mission Istaanbul;Raja Cinema
Adventure;2008;One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi;The Bigger Picture
Adventure;2008;Solar Flare;Regent Releasing
Adventure;2008;Camille;A-Mark Entertainment
Adventure;2008;The Holy Mountain;Abkco Films
Adventure;2009;Harry Potter and the Half-Blood Prince;Warner Bros.
Adventure;2009;Up;Walt Disney
Adventure;2009;Star Trek;Paramount Pictures
Adventure;2009;Monsters vs. Aliens;Paramount Pictures
Adventure;2009;Ice Age: Dawn of the Dinosaurs;20th Century Fox
Adventure;2009;Night at the Museum: Battle of the Smithsonian;20th Century Fox
Adventure;2009;2012;Sony Pictures
Adventure;2009;Alvin and the Chipmunks: The Squeakquel;20th Century Fox
Adventure;2009;Sherlock Holmes;Warner Bros.
Adventure;2009;Cloudy with a Chance of Meatballs;Sony Pictures
Adventure;2009;G-Force;Walt Disney
Adventure;2009;The Princess and the Frog;Walt Disney
Adventure;2009;Where the Wild Things Are;Warner Bros.
Adventure;2009;Coraline;Focus Features
Adventure;2009;Race to Witch Mountain;Walt Disney
Adventure;2009;Planet 51;Sony Pictures
Adventure;2009;The Pink Panther 2;Sony Pictures
Adventure;2009;9;Focus Features
Adventure;2009;Toy Story 3D Double Feature;Walt Disney
Adventure;2009;Bedtime Stories;Walt Disney
Adventure;2009;Shorts;Warner Bros.
Adventure;2009;Astro Boy;Summit Entertainment
Adventure;2009;Inkheart;Warner Bros.
Adventure;2009;Ponyo (崖の上のポニョ);Walt Disney
Adventure;2009;Dragonball Evolution;20th Century Fox
Adventure;2009;The Tale of Despereaux;Universal
Adventure;2009;The Day the Earth Stood Still;20th Century Fox
Adventure;2009;Bolt;Walt Disney
Adventure;2009;Madagascar: Escape 2 Africa;Paramount Pictures
Adventure;2009;Fly Me To the Moon;Summit Entertainment
Adventure;2009;Battle for Terra;Roadside Attractions
Adventure;2009;Babine;
Adventure;2009;The Imaginarium of Doctor Parnassus;Box Office History for Sony Pictures Classics
Adventure;2009;Beverly Hills Chihuahua;Walt Disney
Adventure;2009;The Polar Express;Warner Bros.
Adventure;2009;El delfín: La historia de un soñador;
Adventure;2009;Evangerion shin gekijôban: Jo;Eleven Arts
Adventure;2009;Igor;MGM
Adventure;2009;Super Capers;Roadside Attractions
Adventure;2009;Severed Ways: The Norse Discovery of America;Magnolia Pictures
Adventure;2009;A Town Called Panic;Zeitgeist
Adventure;2009;Santa vs. The Snowman;IMAX Films
Adventure;2009;City of Ember;20th Century Fox
Adventure;2009;Confessions of a Ex-Doofus-Itchy Footed Mutha;Self Distributed
Adventure;2009;WALL-E;Walt Disney
Adventure;2010;Toy Story 3;Walt Disney
Adventure;2010;Alice in Wonderland;Walt Disney
Adventure;2010;Harry Potter and the Deathly Hallows: Part I;Warner Bros.
Adventure;2010;Despicable Me;Universal
Adventure;2010;Shrek Forever After;Paramount Pictures
Adventure;2010;How to Train Your Dragon;Paramount Pictures
